node_id,name,original_name,former_name,jurisdiction_description,address,incorporation_date,inactivation_date,struck_off_date,status,service_provider,countries
10002952,GULLA PROPERTIES DEVELOPMENT LLC,GULLA PROPERTIES DEVELOPMENT LLC,,Nevada,MOSSFON MANAGERS LTD. SAFFREY SQUARE; SUITE 205; BANK LANE P.O. BOX N-8188 NASSAU **S.I**; NEW PROVIDENCE ISLAND BAHAMAS,25-Feb-11,,,Active,Mossack Fonseca,Bahamas
10003049,PENELOPE LLC,PENELOPE LLC,,Nevada,"PENELOPE LLC 520 S. 7TH STREET SUITE C LAS VEGAS, NV 89101 U.  S.  A.",25-Aug-05,5-Oct-11,1-Sep-07,Defaulted,Mossack Fonseca,United States
10003434,DARBY MANAGEMENT LLC,DARBY MANAGEMENT LLC,,Nevada,"DARBY MANAGEMENT LLC 520 S. 7TH STREET SUITE C LAS VEGAS, NV 89101 U.  S.  A.",17-Feb-04,5-Oct-11,1-Mar-06,Defaulted,Mossack Fonseca,United States
10003482,DUNTOWER EQUITIES LC,DUNTOWER EQUITIES LC,,Nevada,MOSSFON MANAGERS LTD. SAFFREY SQUARE; SUITE 205; BANK LANE P.O. BOX N-8188 NASSAU **S.I**; NEW PROVIDENCE ISLAND BAHAMAS,15-Jul-05,16-Sep-11,1-Aug-12,Defaulted,Mossack Fonseca,Bahamas
10003772,INTERNATIONAL ENTREPRENEURS LLC,INTERNATIONAL ENTREPRENEURS LLC,,Nevada,MOSSFON MANAGERS (SERVICES) MOSSFON BUILDING EAST 54TH STREET P.O. BOX 0832-0886; W.T.C.  PANAMA; REPUBLIC OF PANAMA,30-Dec-05,,,Active,Mossack Fonseca,Panama
10003814,NEYMAR INVESTMENTS LLC,NEYMAR INVESTMENTS LLC,,Nevada,MOSSFON MANAGERS LTD. SAFFREY SQUARE; SUITE 205; BANK LANE P.O. BOX N-8188 NASSAU **S.I**; NEW PROVIDENCE ISLAND BAHAMAS,27-Feb-06,2-Mar-11,1-Mar-11,Defaulted,Mossack Fonseca,Bahamas
10004076,ARISTEA INTERNATIONAL LLC,ARISTEA INTERNATIONAL LLC,,Nevada,"ARISTEA INTERNATIONAL LLC 520 S. 7TH STREET  SUITE C LAS VEGAS, NV 89101 U.  S.  A.",24-Feb-09,27-May-14,1-Mar-11,Defaulted,Mossack Fonseca,United States
10004081,HUTTON MANAGEMENT LLC,HUTTON MANAGEMENT LLC,,Nevada,"HUTTON MANAGEMENT LLC 520 S. 7TH STREET SUITE C LAS VEGAS, NV 89101 U.  S.  A.",20-Jan-05,10-Aug-10,1-Feb-07,Defaulted,Mossack Fonseca,United States
10004085,BARADUR CORPORATION,BARADUR CORPORATION,,Samoa,MOSSFON MANAGERS (SERVICES) MOSSFON BUILDING EAST 54TH STREET P.O. BOX 0832-0886; W.T.C.  PANAMA; REPUBLIC OF PANAMA,18-Aug-05,,,Active,Mossack Fonseca,Panama
10004215,SHELDRON DEVELOPMENT LLC,SHELDRON DEVELOPMENT LLC,,Nevada,MOSSFON MANAGERS LTD. SAFFREY SQUARE; SUITE 205; BANK LANE P.O. BOX N-8188 NASSAU **S.I**; NEW PROVIDENCE ISLAND BAHAMAS,19-Nov-09,2-Dec-15,1-Dec-15,Defaulted,Mossack Fonseca,Bahamas
