node_id_start,node_id_end,link,start_date,end_date
10004076,10004180,same name and registration date as,,
10005052,10005436,same name and registration date as,,
10003049,10005946,same name and registration date as,,
10005559,10006408,same name and registration date as,,
10006085,10007066,same name and registration date as,,
10004423,10007481,same name and registration date as,,
10005463,10008752,same name and registration date as,,
10003434,10008977,same name and registration date as,,
10005010,10009802,same name and registration date as,,
10006024,10010391,same name and registration date as,,
10004081,10010400,same name and registration date as,,
10011489,10016064,same name and registration date as,,
10007803,10016139,same name and registration date as,,
10004887,10021635,same name and registration date as,,
10039238,10040746,same name and registration date as,,
10039182,10041659,same name and registration date as,,
10039000,10042134,same name and registration date as,,
10038958,10044920,same name and registration date as,,
10041055,10045432,same name and registration date as,,
10044267,10046990,same name and registration date as,,
10049605,10049759,same name and registration date as,,
10050815,10051576,same name and registration date as,,
10033360,10054264,same name and registration date as,,
10061593,10063718,same name and registration date as,,
10064732,10068079,same name and registration date as,,
10048078,10095871,same name and registration date as,,
10071989,10112678,same name and registration date as,,
10112820,10117516,same name and registration date as,,
10142100,10146844,same name and registration date as,,
10148963,10149136,same name and registration date as,,
10144350,10150323,same name and registration date as,,
10146328,10150598,same name and registration date as,,
10150662,10150669,same name and registration date as,,
10153492,10156321,same name and registration date as,,
10019177,10162756,same name and registration date as,,
10160546,10165000,same name and registration date as,,
10165021,10165176,same name and registration date as,,
10165667,10166122,same name and registration date as,,
10164468,10169922,same name and registration date as,,
10165836,10170004,same name and registration date as,,
10077838,10175371,same name and registration date as,,
10077321,10176513,same name and registration date as,,
10006046,10187977,same name and registration date as,,
10006722,10188151,same name and registration date as,,
10004268,10188181,same name and registration date as,,
10010040,10188189,same name and registration date as,,
10006295,10190122,same name and registration date as,,
10008404,10190129,same name and registration date as,,
10038982,10191769,same name and registration date as,,
10009266,10193848,same name and registration date as,,
10041519,10193897,same name and registration date as,,
10059011,10196725,same name and registration date as,,
10152554,10196804,same name and registration date as,,
10145737,10205667,same name and registration date as,,
10146457,10206634,same name and registration date as,,
10146784,10206864,same name and registration date as,,
10163838,10210908,same name and registration date as,,
10163288,10211333,same name and registration date as,,
11010252,10000653,intermediary of,,
12047996,10000750,shareholder of,14-Aug-02,
